YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,ORIGIN,DEST,DEP_DELAY,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,day
2020,4,25,6,2020-04-25,ORD,BNA,543.0,528.0,0,,0,56.0,409,528.0,0.0,0.0,0.0,0.0,Saturday
2020,4,30,4,2020-04-30,PHX,FLG,668.0,665.0,0,,0,23.0,119,665.0,0.0,0.0,0.0,0.0,Thursday
2020,4,17,5,2020-04-17,ATY,DEN,526.0,493.0,0,,0,70.0,519,493.0,0.0,0.0,0.0,0.0,Friday
2020,4,7,2,2020-04-07,OGG,DEN,867.0,851.0,0,,0,369.0,3302,851.0,0.0,0.0,0.0,0.0,Tuesday
2020,4,6,1,2020-04-06,ANC,DEN,675.0,644.0,0,,0,262.0,2405,621.0,0.0,0.0,0.0,23.0,Monday
2020,4,29,3,2020-04-29,MSP,MIA,527.0,500.0,0,,0,185.0,1501,500.0,0.0,0.0,0.0,0.0,Wednesday
2020,4,19,7,2020-04-19,SMF,DFW,495.0,477.0,0,,0,159.0,1431,13.0,0.0,0.0,0.0,464.0,Sunday
2020,4,13,1,2020-04-13,TUS,DFW,501.0,479.0,0,,0,88.0,813,11.0,0.0,0.0,0.0,468.0,Monday
2020,4,28,2,2020-04-28,OMA,DFW,363.0,352.0,0,,0,89.0,583,352.0,0.0,0.0,0.0,0.0,Tuesday
2020,4,13,1,2020-04-13,PDX,DFW,876.0,867.0,0,,0,187.0,1616,867.0,0.0,0.0,0.0,0.0,Monday
2020,4,22,3,2020-04-22,FAT,DFW,439.0,423.0,0,,0,163.0,1313,423.0,0.0,0.0,0.0,0.0,Wednesday
2020,4,1,3,2020-04-01,BWI,CLT,504.0,506.0,0,,0,62.0,361,504.0,0.0,2.0,0.0,0.0,Wednesday
2020,4,16,4,2020-04-16,SAN,PHX,1403.0,1394.0,0,,0,50.0,304,1394.0,0.0,0.0,0.0,0.0,Thursday
2020,4,28,2,2020-04-28,DFW,OKC,409.0,396.0,0,,0,33.0,175,0.0,396.0,0.0,0.0,0.0,Tuesday
2020,4,6,1,2020-04-06,IND,DFW,363.0,375.0,0,,0,129.0,761,363.0,0.0,12.0,0.0,0.0,Monday
2020,4,6,1,2020-04-06,SFO,MSP,413.0,386.0,0,,0,178.0,1589,386.0,0.0,0.0,0.0,0.0,Monday
2020,4,19,7,2020-04-19,RNO,SLC,1135.0,1131.0,0,,0,64.0,422,1131.0,0.0,0.0,0.0,0.0,Sunday
2020,4,23,4,2020-04-23,RNO,SLC,470.0,469.0,0,,0,58.0,422,469.0,0.0,0.0,0.0,0.0,Thursday
2020,4,23,4,2020-04-23,SFO,SEA,510.0,509.0,0,,0,112.0,679,509.0,0.0,0.0,0.0,0.0,Thursday
2020,4,25,6,2020-04-25,ORF,ATL,385.0,390.0,0,,0,90.0,516,385.0,0.0,5.0,0.0,0.0,Saturday
2020,4,26,7,2020-04-26,JFK,SEA,413.0,382.0,0,,0,325.0,2422,382.0,0.0,0.0,0.0,0.0,Sunday
2020,4,5,7,2020-04-05,HRL,IAH,431.0,415.0,0,,0,47.0,295,415.0,0.0,0.0,0.0,0.0,Sunday
2020,4,26,7,2020-04-26,BTV,CLT,572.0,549.0,0,,0,118.0,761,0.0,0.0,0.0,0.0,549.0,Sunday
2020,4,15,3,2020-04-15,ABE,CLT,851.0,838.0,0,,0,86.0,481,838.0,0.0,0.0,0.0,0.0,Wednesday
2020,4,7,2,2020-04-07,ECP,CLT,594.0,576.0,0,,0,65.0,437,576.0,0.0,0.0,0.0,0.0,Tuesday
2020,4,30,4,2020-04-30,FAY,CLT,420.0,404.0,0,,0,35.0,118,404.0,0.0,0.0,0.0,0.0,Thursday
2020,4,8,3,2020-04-08,CHS,DEN,745.0,762.0,0,,0,236.0,1449,745.0,0.0,17.0,0.0,0.0,Wednesday
2020,4,10,5,2020-04-10,IAD,PBG,783.0,766.0,0,,0,64.0,444,766.0,0.0,0.0,0.0,0.0,Friday
2020,4,23,4,2020-04-23,ORD,ROC,702.0,680.0,0,,0,70.0,528,680.0,0.0,0.0,0.0,0.0,Thursday
2020,4,21,2,2020-04-21,ORD,ROC,704.0,684.0,0,,0,69.0,528,684.0,0.0,0.0,0.0,0.0,Tuesday
2020,4,20,1,2020-04-20,ORD,ROC,708.0,694.0,0,,0,79.0,528,694.0,0.0,0.0,0.0,0.0,Monday
2020,4,20,1,2020-04-20,HNL,GUM,455.0,467.0,0,,0,449.0,3801,228.0,0.0,12.0,0.0,227.0,Monday
2020,4,20,1,2020-04-20,GUM,HNL,883.0,845.0,0,,0,376.0,3801,845.0,0.0,0.0,0.0,0.0,Monday
2020,4,19,7,2020-04-19,ORD,ROC,689.0,676.0,0,,0,65.0,528,548.0,0.0,0.0,0.0,128.0,Sunday
2020,4,18,6,2020-04-18,ORD,ROC,710.0,687.0,0,,0,66.0,528,687.0,0.0,0.0,0.0,0.0,Saturday
2020,4,17,5,2020-04-17,ORD,ROC,722.0,702.0,0,,0,67.0,528,702.0,0.0,0.0,0.0,0.0,Friday
2020,4,16,4,2020-04-16,ORD,ROC,693.0,699.0,0,,0,63.0,528,693.0,0.0,6.0,0.0,0.0,Thursday
2020,4,15,3,2020-04-15,ORD,ROC,709.0,689.0,0,,0,65.0,528,689.0,0.0,0.0,0.0,0.0,Wednesday
2020,4,14,2,2020-04-14,ORD,ROC,712.0,688.0,0,,0,67.0,528,688.0,0.0,0.0,0.0,0.0,Tuesday
2020,4,9,4,2020-04-09,HNL,SFO,826.0,826.0,0,,0,268.0,2398,826.0,0.0,0.0,0.0,0.0,Thursday
2020,4,5,7,2020-04-05,LAS,MIA,776.0,758.0,0,,0,224.0,2174,751.0,0.0,0.0,0.0,7.0,Sunday
2020,4,1,3,2020-04-01,PWM,CLT,607.0,565.0,0,,0,115.0,813,565.0,0.0,0.0,0.0,0.0,Wednesday
2020,4,2,4,2020-04-02,IND,CLT,701.0,680.0,0,,0,62.0,427,680.0,0.0,0.0,0.0,0.0,Thursday
2020,4,3,5,2020-04-03,SMF,DFW,362.0,364.0,0,,0,169.0,1431,362.0,0.0,2.0,0.0,0.0,Friday
2020,4,1,3,2020-04-01,RNO,DFW,1527.0,1506.0,0,,0,155.0,1345,1506.0,0.0,0.0,0.0,0.0,Wednesday
2020,4,9,4,2020-04-09,SFO,SEA,926.0,925.0,0,,0,95.0,679,925.0,0.0,0.0,0.0,0.0,Thursday
2020,4,11,6,2020-04-11,PHL,DTW,407.0,402.0,0,,0,77.0,453,402.0,0.0,0.0,0.0,0.0,Saturday
2020,4,2,4,2020-04-02,KOA,LAX,1075.0,1075.0,0,,0,279.0,2504,1075.0,0.0,0.0,0.0,0.0,Thursday
2020,4,2,4,2020-04-02,OKC,ATL,491.0,477.0,0,,0,88.0,761,103.0,0.0,0.0,0.0,374.0,Thursday
2020,4,3,5,2020-04-03,LIH,LAX,781.0,789.0,0,,0,301.0,2615,781.0,0.0,8.0,0.0,0.0,Friday
